year,1m,3m,6m,12m
2010,-0.34747622421694807,-0.92541940477674,0.14773661824612666,-3.8675032607572843
2011,-1.1033288513590507,1.1569891571155753,-1.3182789826123154,-1.6691214246217358
2012,-0.463278125089791,-0.7858462723632637,0.9279171496342155,2.8825640838120266
2013,0.25831281908443654,0.0866257725238745,1.4356907217434136,2.0229823316060305
2014,-0.16118902016149975,0.24143054254142485,0.8730073809639468,0.6911401206794003
2015,0.181708688110082,-0.24332061092225224,-1.722917043353633,0.2534217710263624
2016,0.10880333538099503,-0.07155208816318172,0.14936805610292045,0.051194143346294116
2017,0.2027063955129599,0.7417573657742701,-0.2286817068082297,0.43891588455428393
2018,-0.7612862648552945,-0.8859781008592564,-0.4906236271480385,-3.3844310201062338
2019,-0.2007103574780228,0.3226369569650332,1.2800626000793078,-1.5771820489471737
2020,-0.2408911570129085,-1.1980120537157286,-3.881894459129924,-13.133650880381092
2021,-1.6274366499492117,-3.390502546138454,-3.5372532479490104,-2.473217947573878
2022,-1.1052586199255,0.03640061197452138,-0.7519404004409321,-6.232177724410547
2023,-1.1269811813413357,-2.9150690950013853,-3.20725523297565,-4.897663318823471
2024,-0.26505863226323606,0.529426071883297,1.0264500965880905,1.0863825024064477
2025,0.3272548695385375,0.3607741956307332,1.4182311837178532,
