ymp,洋買土賣,洋賣土買,對作合計
2010-01-01,0.031746031746031744,0.12698412698412698,0.15873015873015872
2010-02-01,0.04829770387965162,0.0665083135391924,0.11480601741884403
2010-03-01,0.11444356748224152,0.02920284135753749,0.143646408839779
2010-04-01,0.1003921568627451,0.023529411764705882,0.12392156862745098
2010-05-01,0.060203283815480846,0.024237685691946835,0.08444096950742769
2010-06-01,0.02255054432348367,0.05054432348367029,0.07309486780715396
2010-07-01,0.06765163297045101,0.09797822706065319,0.1656298600311042
2010-08-01,0.04949729311678268,0.040989945862335654,0.09048723897911834
2010-09-01,0.1381172839506173,0.037037037037037035,0.17515432098765432
2010-10-01,0.08812260536398467,0.021455938697318006,0.10957854406130267
2010-11-01,0.12128146453089245,0.028985507246376812,0.15026697177726925
2010-12-01,0.06207418622255867,0.04012112036336109,0.10219530658591976
2011-01-01,0.12951807228915663,0.02710843373493976,0.1566265060240964
2011-02-01,0.06015037593984962,0.06315789473684211,0.12330827067669173
2011-03-01,0.14403600900225055,0.04276069017254314,0.1867966991747937
2011-04-01,0.040419161676646706,0.033682634730538924,0.07410179640718563
2011-05-01,0.075037147102526,0.021545319465081723,0.09658246656760772
2011-06-01,0.034918276374442794,0.0787518573551263,0.11367013372956909
2011-07-01,0.04062038404726736,0.04283604135893648,0.08345642540620385
2011-08-01,0.04649446494464945,0.023616236162361623,0.07011070110701106
2011-09-01,0.018368846436443792,0.04335047759000735,0.06171932402645114
2011-10-01,0.13596491228070176,0.025584795321637425,0.1615497076023392
2011-11-01,0.05826656955571741,0.032046613255644577,0.09031318281136198
2011-12-01,0.16848220769789396,0.02251270878721859,0.19099491648511255
2012-01-01,0.0872093023255814,0.042877906976744186,0.1300872093023256
2012-02-01,0.09582132564841499,0.01729106628242075,0.11311239193083573
2012-03-01,0.15899280575539568,0.033093525179856115,0.1920863309352518
2012-04-01,0.024495677233429394,0.026657060518731988,0.05115273775216138
2012-05-01,0.04669540229885057,0.028735632183908046,0.07543103448275862
2012-06-01,0.03225806451612903,0.015770609318996417,0.04802867383512545
2012-07-01,0.03804737975592247,0.0208183776022972,0.05886575735821967
2012-08-01,0.052254831782390834,0.02934860415175376,0.0816034359341446
2012-09-01,0.03278688524590164,0.02565930149679259,0.05844618674269423
2012-10-01,0.029787234042553193,0.03333333333333333,0.06312056737588653
2012-11-01,0.07410021171489062,0.016231474947071278,0.0903316866619619
2012-12-01,0.04748603351955307,0.02723463687150838,0.07472067039106145
2013-01-01,0.06624825662482567,0.09274755927475593,0.15899581589958162
2013-02-01,0.050871080139372825,0.023693379790940768,0.07456445993031359
2013-03-01,0.039638386648122394,0.01321279554937413,0.05285118219749652
2013-04-01,0.060941828254847646,0.012465373961218837,0.07340720221606649
2013-05-01,0.029778393351800554,0.027700831024930747,0.0574792243767313
2013-06-01,0.03665283540802213,0.029737206085753802,0.06639004149377593
2013-07-01,0.039337474120082816,0.039337474120082816,0.07867494824016563
2013-08-01,0.03994490358126722,0.03787878787878788,0.0778236914600551
2013-09-01,0.05024088093599449,0.031658637302133516,0.08189951823812801
2013-10-01,0.06799450549450549,0.03571428571428571,0.1037087912087912
2013-11-01,0.045765027322404374,0.01980874316939891,0.06557377049180328
2013-12-01,0.06508474576271187,0.030508474576271188,0.09559322033898306
2014-01-01,0.037237643872714964,0.017603249830737983,0.05484089370345295
2014-02-01,0.06009453072248481,0.027683997299122215,0.08777852802160702
2014-03-01,0.03569023569023569,0.02356902356902357,0.05925925925925926
2014-04-01,0.06401617250673855,0.08153638814016173,0.14555256064690028
2014-05-01,0.0641025641025641,0.01349527665317139,0.07759784075573549
2014-06-01,0.11911170928667564,0.058546433378196504,0.17765814266487215
2014-07-01,0.03089321692411014,0.08797850906648758,0.11887172599059771
2014-08-01,0.046370967741935484,0.025537634408602152,0.07190860215053764
2014-09-01,0.032021347565043365,0.04469646430953969,0.07671781187458306
2014-10-01,0.035832780358327807,0.0185799601857996,0.05441274054412741
2014-11-01,0.03309066843150232,0.027796161482461945,0.06088682991396426
2014-12-01,0.0563564875491481,0.022280471821756225,0.07863695937090433
2015-01-01,0.0736156351791531,0.02736156351791531,0.10097719869706841
2015-02-01,0.08653220559531555,0.014964216005204945,0.1014964216005205
2015-03-01,0.04483430799220273,0.01949317738791423,0.06432748538011696
