ymp,rankIC
2010-01-01,0.09945816550938488
2010-02-01,0.0858715283639711
2010-03-01,0.04658056894855396
2010-04-01,-0.032715958934435886
2010-05-01,0.1590217493887557
2010-06-01,0.19068885642152428
2010-07-01,0.009686785415182506
2010-08-01,0.09124523615511337
2010-09-01,-0.0018791833576174523
2010-10-01,-0.18852725224298414
2010-11-01,0.05352305546232337
2010-12-01,0.17548852712291138
2011-01-01,0.03862785701533326
2011-02-01,0.057420678775549246
2011-03-01,0.07653186448987172
2011-04-01,0.06529912476110669
2011-05-01,0.005874120669875835
2011-06-01,0.011682031622068132
2011-07-01,-0.018032592181397918
2011-08-01,0.11461026109036611
2011-09-01,0.011702505643940092
2011-10-01,-0.02546912157442269
2011-11-01,0.09348718671384683
2011-12-01,0.011874763437050849
2012-01-01,0.08793717274052695
2012-02-01,-0.04470980088676038
2012-03-01,0.12336279956206152
2012-04-01,0.0680096133211358
2012-05-01,0.12436192884909021
2012-06-01,-0.08860991360461178
2012-07-01,0.037863764185464305
2012-08-01,0.19621385738653807
2012-09-01,-0.12772485725306748
2012-10-01,0.1291686144239949
2012-11-01,0.11708365050720014
2012-12-01,0.029180744354973875
2013-01-01,0.1308735956423163
2013-02-01,-0.09490135238961109
2013-03-01,0.05522030074411882
2013-04-01,0.06564376018976086
2013-05-01,0.08526829800789378
2013-06-01,-0.0017342781876392229
2013-07-01,0.025708116831202988
2013-08-01,0.10492547303400375
2013-09-01,0.11984198964746977
2013-10-01,-0.03636769350622267
2013-11-01,0.03739575930151265
2013-12-01,0.017659115035988177
2014-01-01,-0.1389252409159001
2014-02-01,-0.05922079244291893
2014-03-01,-0.008054324260856121
2014-04-01,0.07729054357110515
2014-05-01,0.1572350148519327
2014-06-01,0.14060050120436685
2014-07-01,0.044992083644540465
2014-08-01,0.03807356033584049
2014-09-01,0.024362400374273716
2014-10-01,-0.036187745469185496
2014-11-01,0.1072789323617798
2014-12-01,0.0061734321638590136
2015-01-01,0.009006784898454554
2015-02-01,0.021164051587221733
2015-03-01,-0.04355523095509049
2015-04-01,0.06525322837392429
2015-05-01,-0.08977803348202275
2015-06-01,0.08308486230426304
2015-07-01,0.08061580192115514
2015-08-01,-0.058257807313984375
2015-09-01,0.07078530853042449
2015-10-01,0.060934681116877894
2015-11-01,0.07265143995147733
2015-12-01,0.008208491381335725
2016-01-01,0.05706084888804157
2016-02-01,0.16091186425852497
2016-03-01,0.04290189054476266
2016-04-01,0.13560414676037624
2016-05-01,0.07813516165770658
2016-06-01,0.04965932349675051
2016-07-01,-0.10625152438582235
2016-08-01,0.042295894376898915
2016-09-01,0.07906721005865604
2016-10-01,0.024275561321340792
2016-11-01,0.2233631134710645
2016-12-01,-0.07860027204042853
2017-01-01,0.05846626046569
2017-02-01,0.11781065949431715
2017-03-01,0.027992944483348808
2017-04-01,-0.0293384330895223
2017-05-01,0.15758900452361083
2017-06-01,-0.02720409039483743
2017-07-01,0.042087422055218676
2017-08-01,0.08270856189097112
2017-09-01,-0.001667404575282492
2017-10-01,-0.030011209877921247
2017-11-01,0.050065649900629415
2017-12-01,-0.015302649115030447
2018-01-01,0.09088970983695212
2018-02-01,0.09379855713211144
2018-03-01,-0.06915167538689719
2018-04-01,0.08975833081300473
2018-05-01,0.1328398178969594
2018-06-01,-0.04721819847630275
2018-07-01,0.028565332251410464
2018-08-01,-0.05300144582262579
2018-09-01,0.14685388795983534
2018-10-01,-0.002465327999769079
2018-11-01,0.04584852907338903
2018-12-01,0.06123053880492837
2019-01-01,0.1407949788891201
2019-02-01,-0.037479576635349406
2019-03-01,-0.02863779348118788
2019-04-01,0.04340866079742953
2019-05-01,-0.03419771823879323
2019-06-01,-0.006736204200701994
2019-07-01,0.05739856639406632
2019-08-01,-0.060862745984062945
2019-09-01,-0.04298368722862353
2019-10-01,0.04139843079496215
2019-11-01,-0.011273726510713046
2019-12-01,0.01822039315849811
2020-01-01,-0.035243220507316673
2020-02-01,0.07940149611511489
2020-03-01,0.24040961504641323
2020-04-01,-0.0014840133960636846
2020-05-01,0.06096457584932872
2020-06-01,-0.09612199360759578
2020-07-01,0.06656637358514012
2020-08-01,-0.01945509730028961
2020-09-01,0.11880555340455239
2020-10-01,0.08398617892859454
2020-11-01,0.2567201011286198
2020-12-01,-0.04445288047407312
2021-01-01,-0.0593628371934233
2021-02-01,0.09582766626153266
2021-03-01,-0.13155084304253897
2021-04-01,-0.10850675031576316
2021-05-01,0.16714903481857496
2021-06-01,0.03973803101554243
2021-07-01,0.009481919027459056
2021-08-01,-0.0014163636335594659
2021-09-01,0.12560421808338293
2021-10-01,-0.004114282338377579
2021-11-01,0.11394882212734787
2021-12-01,0.0950277391275926
2022-01-01,-0.059031922308156126
2022-02-01,0.012574605765047837
2022-03-01,-0.06313650478545522
2022-04-01,0.005354658030895986
2022-05-01,0.11753473493708413
2022-06-01,0.029327090943292628
2022-07-01,-0.025013910037414554
2022-08-01,0.10483061475854207
2022-09-01,-0.09315831043959608
2022-10-01,0.015608743462929295
2022-11-01,0.05722777022237291
2022-12-01,0.11771510979358198
2023-01-01,0.03573931009733134
2023-02-01,0.03222320616337819
2023-03-01,-0.0026864177103193775
2023-04-01,0.046834446264919546
2023-05-01,-0.010185561924778064
2023-06-01,0.08261404824965549
2023-07-01,0.1005207326025413
2023-08-01,0.1485481590252079
2023-09-01,0.03679651093779215
2023-10-01,0.035817385693560126
2023-11-01,0.049793267054046284
2023-12-01,0.0407491274887091
2024-01-01,-0.044560931022249714
2024-02-01,0.020465661374633726
2024-03-01,-0.13958122942790568
2024-04-01,0.002716064551441712
2024-05-01,0.07540940517683928
2024-06-01,0.16102448616183396
2024-07-01,0.10686723826313715
2024-08-01,-0.11322584930841034
2024-09-01,0.0594467834338795
2024-10-01,-0.03273244169045218
2024-11-01,0.007517425014861247
2024-12-01,-0.11243392920420194
2025-01-01,0.04587664023126135
2025-02-01,-0.09321744259697647
2025-03-01,0.011624323736587519
2025-04-01,0.07670173219370405
2025-05-01,-0.07118378940274565
2025-06-01,-0.1041044660547989
2025-07-01,0.05910588466613851
2025-08-01,0.060276561514693114
2025-09-01,0.049439396671219764
2025-10-01,0.09920081380946957
2025-11-01,-0.05383408609220589
